class,metric,before,after,delta
person,Precision,0.319927,0.411137,+0.091210
person,Recall,0.630000,0.620000,-0.010000
person,F1,0.424357,0.494415,+0.070058
person,mAP@0.5,0.313346,0.399785,+0.086439
person,mAP@0.5:0.95,0.239428,0.301049,+0.061621
bicycle,Precision,0.684064,0.723684,+0.039620
bicycle,Recall,0.620000,0.590000,-0.030000
bicycle,F1,0.650458,0.650040,-0.000418
bicycle,mAP@0.5,0.620387,0.644376,+0.023989
bicycle,mAP@0.5:0.95,0.424155,0.439629,+0.015474
car,Precision,0.337392,0.527445,+0.190053
car,Recall,0.600000,0.610000,+0.010000
car,F1,0.431912,0.565726,+0.133815
car,mAP@0.5,0.330183,0.524872,+0.194690
car,mAP@0.5:0.95,0.231019,0.360504,+0.129485
motorcycle,Precision,0.001585,0.041667,+0.040082
motorcycle,Recall,0.160000,0.160000,+0.000000
motorcycle,F1,0.003138,0.066116,+0.062977
motorcycle,mAP@0.5,0.000605,0.008452,+0.007847
motorcycle,mAP@0.5:0.95,0.000332,0.003282,+0.002950
bus,Precision,0.250000,0.001063,-0.248937
bus,Recall,0.250000,0.500000,+0.250000
bus,F1,0.250000,0.002121,-0.247879
bus,mAP@0.5,0.065771,0.000537,-0.065234
bus,mAP@0.5:0.95,0.032954,0.000282,-0.032672
truck,Precision,0.046632,0.104938,+0.058306
truck,Recall,0.180000,0.340000,+0.160000
truck,F1,0.074074,0.160377,+0.086303
truck,mAP@0.5,0.021218,0.089762,+0.068545
truck,mAP@0.5:0.95,0.017929,0.077218,+0.059289
