class,metric,before,after,delta
person,Precision,0.323470,0.754569,+0.431099
person,Recall,0.405649,0.662234,+0.256585
person,F1,0.359928,0.705393,+0.345465
person,mAP@0.5,0.190208,0.695994,+0.505786
person,mAP@0.5:0.95,0.099573,0.375998,+0.276426
bicycle,Precision,0.208453,0.967825,+0.759372
bicycle,Recall,0.629164,0.956329,+0.327165
bicycle,F1,0.313153,0.962042,+0.648890
bicycle,mAP@0.5,0.188949,0.982329,+0.793380
bicycle,mAP@0.5:0.95,0.135071,0.880358,+0.745286
car,Precision,0.434077,0.907860,+0.473783
car,Recall,0.489675,0.889683,+0.400009
car,F1,0.460203,0.898680,+0.438477
car,mAP@0.5,0.302292,0.904995,+0.602703
car,mAP@0.5:0.95,0.160968,0.560037,+0.399069
motorcycle,Precision,,,
motorcycle,Recall,,,
motorcycle,F1,,,
motorcycle,mAP@0.5,,,
motorcycle,mAP@0.5:0.95,,,
bus,Precision,1.000000,0.000000,-1.000000
bus,Recall,0.500000,0.000000,-0.500000
bus,F1,0.666667,0.000000,-0.666667
bus,mAP@0.5,0.495000,0.000000,-0.495000
bus,mAP@0.5:0.95,0.420500,0.000000,-0.420500
truck,Precision,0.000000,0.000000,+0.000000
truck,Recall,0.000000,0.000000,+0.000000
truck,F1,0.000000,0.000000,+0.000000
truck,mAP@0.5,0.001369,0.000000,-0.001369
truck,mAP@0.5:0.95,0.000958,0.000000,-0.000958
