class,metric,before,after,delta
person,Precision,0.344063,0.665246,+0.321183
person,Recall,0.409807,0.669002,+0.259194
person,F1,0.374069,0.667119,+0.293050
person,mAP@0.5,0.189921,0.658859,+0.468939
person,mAP@0.5:0.95,0.098992,0.353241,+0.254248
bicycle,Precision,0.376711,0.852855,+0.476144
bicycle,Recall,0.631357,0.998192,+0.366834
bicycle,F1,0.471872,0.919818,+0.447946
bicycle,mAP@0.5,0.308989,0.986234,+0.677245
bicycle,mAP@0.5:0.95,0.217544,0.926723,+0.709178
car,Precision,0.394145,0.869658,+0.475513
car,Recall,0.442241,0.917241,+0.475000
car,F1,0.416810,0.892816,+0.476006
car,mAP@0.5,0.262479,0.921761,+0.659283
car,mAP@0.5:0.95,0.140617,0.593853,+0.453237
motorcycle,Precision,,,
motorcycle,Recall,,,
motorcycle,F1,,,
motorcycle,mAP@0.5,,,
motorcycle,mAP@0.5:0.95,,,
bus,Precision,1.000000,0.000000,-1.000000
bus,Recall,0.500000,0.000000,-0.500000
bus,F1,0.666667,0.000000,-0.666667
bus,mAP@0.5,0.495000,0.000000,-0.495000
bus,mAP@0.5:0.95,0.420500,0.000000,-0.420500
truck,Precision,0.011334,1.000000,+0.988666
truck,Recall,0.142857,0.806997,+0.664139
truck,F1,0.021001,0.893191,+0.872190
truck,mAP@0.5,0.003614,0.855000,+0.851386
truck,mAP@0.5:0.95,0.000822,0.608633,+0.607812
