class,metric,before,after,delta
person,Precision,0.625237,0.777573,+0.152336
person,Recall,0.430000,0.670000,+0.240000
person,F1,0.509557,0.719789,+0.210232
person,mAP@0.5,0.487696,0.751055,+0.263360
person,mAP@0.5:0.95,0.228093,0.397080,+0.168987
bicycle,Precision,0.222892,0.815416,+0.592524
bicycle,Recall,0.110000,0.800000,+0.690000
bicycle,F1,0.147304,0.807634,+0.660331
bicycle,mAP@0.5,0.075780,0.870938,+0.795157
bicycle,mAP@0.5:0.95,0.029042,0.473429,+0.444388
car,Precision,0.858264,0.933562,+0.075298
car,Recall,0.710000,0.900000,+0.190000
car,F1,0.777123,0.916474,+0.139350
car,mAP@0.5,0.799422,0.945671,+0.146249
car,mAP@0.5:0.95,0.516375,0.695369,+0.178994
motorcycle,Precision,0.250000,0.800000,+0.550000
motorcycle,Recall,0.350000,0.700000,+0.350000
motorcycle,F1,0.291667,0.746667,+0.455000
motorcycle,mAP@0.5,0.152331,0.684313,+0.531982
motorcycle,mAP@0.5:0.95,0.077872,0.364895,+0.287024
bus,Precision,0.970588,0.883333,-0.087255
bus,Recall,0.560000,0.910000,+0.350000
bus,F1,0.710223,0.896468,+0.186245
bus,mAP@0.5,0.668059,0.950676,+0.282616
bus,mAP@0.5:0.95,0.574831,0.826657,+0.251826
truck,Precision,0.033708,0.795699,+0.761991
truck,Recall,0.490000,0.930000,+0.440000
truck,F1,0.063077,0.857624,+0.794547
truck,mAP@0.5,0.025511,0.924515,+0.899003
truck,mAP@0.5:0.95,0.017002,0.714577,+0.697575
license_plate,Precision,0.000666,0.845357,+0.844692
license_plate,Recall,0.000000,0.700000,+0.700000
license_plate,F1,0.000000,0.765842,+0.765842
license_plate,mAP@0.5,0.000007,0.746052,+0.746045
license_plate,mAP@0.5:0.95,0.000004,0.351838,+0.351834
