run_id,file_name,source,local_path,minio_key,preset,status,started_at,upload_seconds,caption_seconds,total_seconds,total_tokens,model,full_caption
20260529T012806Z,international_and_washington_1_03-27-2026-02-10-48-am.jpg,minio,,input_data/frames/international_and_washington_1_03-27-2026-02-10-48-am.jpg,vehicle_prompts_2,done,2026-05-29T01:28:06.719414+00:00,0.129,2.327,2.807,,nvidia/cosmos-reason2-8b,"```json {   ""analysis"": {     ""license_plates"": [],     ""vehicles"": [       {         ""vehicle_id"": 1,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""dark"",           ""finish"": ""matte"",           ""full_description"": ""dark matte""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.99,           ""color"": 0.99         },         ""occlusion"": ""none"",         ""bounding_box"": [471, 46, 517, 95]       }     ],     ""vehicle_count"": {       ""total"": 1,       ""count_confidence"": ""exact"",       ""breakdown"": {         ""passenger_cars"": 0,         ""suvs_crossovers"": 0,         ""pickup_trucks"": 1,         ""vans_minivans"": 0,         ""commercial_trucks"": 0,         ""motorcycles_scooters"": 0,         ""buses_coaches"": 0,         ""other"": 0       },       ""notes"": null     }   },   ""meta"": {     ""image_quality"": ""poor"",     ""lighting_condition"": ""night"",     ""processing_notes"": ""Vehicle is partially visible and its license plate is not clearly readable.""   } } ```"
20260529T012806Z,international_and_washington_1_03-27-2026-01-43-29-am.jpg,minio,,input_data/frames/international_and_washington_1_03-27-2026-01-43-29-am.jpg,vehicle_prompts_2,done,2026-05-29T01:28:06.718387+00:00,0.125,2.993,3.47,,nvidia/cosmos-reason2-8b,"```json {   ""analysis"": {     ""license_plates"": [],     ""vehicles"": [       {         ""vehicle_id"": 1,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""black"",           ""finish"": ""glossy"",           ""full_description"": ""black glossy""         },         ""body_style"": ""pickup_truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [465, 47, 517, 95]       },       {         ""vehicle_id"": 2,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""black"",           ""finish"": ""glossy"",           ""full_description"": ""black glossy""         },         ""body_style"": ""pickup_truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [465, 47, 517, 95]       },       {         ""vehicle_id"": 3,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""black"",           ""finish"": ""glossy"",           ""full_description"": ""black glossy""         },         ""body_style"": ""pickup_truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [465, 47, 517, 95]       }     ],     ""vehicle_count"": {       ""total"": 3,       ""count_confidence"": ""exact"",       ""breakdown"": {         ""passenger_cars"": 0,         ""suvs_crossovers"": 0,         ""pickup_trucks"": 3,         ""vans_minivans"": 0,         ""commercial_trucks"": 0,         ""motorcycles_scooters"": 0,         ""buses_coaches"": 0,         ""other"": 0       },       ""notes"": null     }   },   ""meta"": {     ""image_quality"": ""poor"",     ""lighting_condition"": ""night"",     ""processing_notes"": ""The image is dark with low visibility, making it difficult to discern details. The vehicle appears to be a black pickup truck, likely a Chevrolet Silverado, based on its shape and size. There are no visible license plates or other identifying features.""   } } ```"
20260529T012806Z,international_and_washington_1_03-27-2026-02-12-37-pm.jpg,minio,,input_data/frames/international_and_washington_1_03-27-2026-02-12-37-pm.jpg,vehicle_prompts_2,done,2026-05-29T01:28:09.528359+00:00,0.033,0.708,0.746,,nvidia/cosmos-reason2-8b,"{   ""analysis"": {     ""license_plates"": [],     ""vehicles"": [],     ""vehicle_count"": {       ""total"": 0,       ""count_confidence"": ""exact"",       ""breakdown"": {         ""passenger_cars"": 0,         ""suvs_crossovers"": 0,         ""pickup_trucks"": 0,         ""vans_minivans"": 0,         ""commercial_trucks"": 0,         ""motorcycles_scooters"": 0,         ""buses_coaches"": 0,         ""other"": 0       },       ""notes"": null     }   },   ""meta"": {     ""image_quality"": ""good"",     ""lighting_condition"": ""daylight"",     ""processing_notes"": null   } } "
20260529T012806Z,international_and_washington_1_03-27-2026-02-42-02-am.jpg,minio,,input_data/frames/international_and_washington_1_03-27-2026-02-42-02-am.jpg,vehicle_prompts_2,done,2026-05-29T01:28:10.190733+00:00,0.035,1.062,1.101,,nvidia/cosmos-reason2-8b,"```json {   ""analysis"": {     ""license_plates"": [],     ""vehicles"": [       {         ""vehicle_id"": 1,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""dark"",           ""finish"": ""matte"",           ""full_description"": ""dark matte""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [465, 50, 510, 90]       }     ],     ""vehicle_count"": {       ""total"": 1,       ""count_confidence"": ""exact"",       ""breakdown"": {         ""passenger_cars"": 0,         ""suvs_crossovers"": 0,         ""pickup_trucks"": 1,         ""vans_minivans"": 0,         ""commercial_trucks"": 0,         ""motorcycles_scooters"": 0,         ""buses_coaches"": 0,         ""other"": 0       },       ""notes"": null     }   },   ""meta"": {     ""image_quality"": ""poor"",     ""lighting_condition"": ""low_light"",     ""processing_notes"": null   } } ```"
20260529T012806Z,international_and_washington_1_03-27-2026-01-12-42-pm.jpg,minio,,input_data/frames/international_and_washington_1_03-27-2026-01-12-42-pm.jpg,vehicle_prompts_2,done,2026-05-29T01:28:06.715285+00:00,0.129,4.55,5.033,,nvidia/cosmos-reason2-8b,"```json {   ""analysis"": {     ""license_plates"": [],     ""vehicles"": [       {         ""vehicle_id"": 1,         ""make"": ""Jeep"",         ""model"": ""Wrangler"",         ""year_range"": ""2015-2017"",         ""color"": {           ""primary"": ""dark gray"",           ""finish"": ""matte"",           ""full_description"": ""dark gray matte Jeep Wrangler""         },         ""body_style"": ""SUV"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [195, 77, 240, 145]       },       {         ""vehicle_id"": 2,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2017"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy Chevrolet Silverado""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.96,           ""color"": 0.97         },         ""occlusion"": ""none"",         ""bounding_box"": [505, 58, 551, 108]       },       {         ""vehicle_id"": 3,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2017"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy Chevrolet Silverado""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.96,           ""color"": 0.97         },         ""occlusion"": ""none"",         ""bounding_box"": [461, 58, 495, 86]       },       {         ""vehicle_id"": 4,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2017"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy Chevrolet Silverado""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.96,           ""color"": 0.97         },         ""occlusion"": ""none"",         ""bounding_box"": [430, 36, 460, 66]       },       {         ""vehicle_id"": 5,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2017"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy Chevrolet Silverado""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.96,           ""color"": 0.97         },         ""occlusion"": ""none"",         ""bounding_box"": [400, 36, 430, 66]       },       {         ""vehicle_id"": 6,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2017"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy Chevrolet Silverado""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.96,           ""color"": 0.97         },         ""occlusion"": ""none"",         ""bounding_box"": [370, 36, 395, 58]       },       {         ""vehicle_id"": 7,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2017"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy Chevrolet Silverado""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.96,           ""color"": 0.97         },         ""occlusion"": ""none"",         ""bounding_box"": [395, 36, 420, 66]       }     ],     ""vehicle_count"": {       ""total"": 7,       ""count_confidence"": ""exact"",       ""breakdown"": {         ""passenger_cars"": 0,         ""suvs_crossovers"": 1,         ""pickup_trucks"": 6,         ""vans_minivans"": 0,         ""commercial_trucks"": 0,         ""motorcycles_scooters"": 0,         ""buses_coaches"": 0,         ""other"": 0       },       ""notes"": null     }   },   ""meta"": {     ""image_quality"": ""good"",     ""lighting_condition"": ""daylight"",     ""processing_notes"": null   } } ```"
20260529T012806Z,international_and_washington_1_03-27-2026-03-12-36-pm.jpg,minio,,input_data/frames/international_and_washington_1_03-27-2026-03-12-36-pm.jpg,vehicle_prompts_2,done,2026-05-29T01:28:11.295032+00:00,0.035,0.745,0.785,,nvidia/cosmos-reason2-8b,"```json {   ""analysis"": {     ""license_plates"": [],     ""vehicles"": [],     ""vehicle_count"": {       ""total"": 0,       ""count_confidence"": ""exact"",       ""breakdown"": {         ""passenger_cars"": 0,         ""suvs_crossovers"": 0,         ""pickup_trucks"": 0,         ""vans_minivans"": 0,         ""commercial_trucks"": 0,         ""motorcycles_scooters"": 0,         ""buses_coaches"": 0,         ""other"": 0       },       ""notes"": null     }   },   ""meta"": {     ""image_quality"": ""good"",     ""lighting_condition"": ""daylight"",     ""processing_notes"": null   } } ```"
20260529T012806Z,international_and_washington_1_03-27-2026-01-42-45-pm.jpg,minio,,input_data/frames/international_and_washington_1_03-27-2026-01-42-45-pm.jpg,vehicle_prompts_2,done,2026-05-29T01:28:06.716678+00:00,0.129,5.083,5.564,,nvidia/cosmos-reason2-8b,"```json {   ""analysis"": {     ""license_plates"": [],     ""vehicles"": [       {         ""vehicle_id"": 1,         ""make"": ""Ford"",         ""model"": ""F-150"",         ""year_range"": ""2015-2020"",         ""color"": {           ""primary"": ""dark gray"",           ""finish"": ""matte"",           ""full_description"": ""dark gray matte""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [390, 485, 775, 840]       },       {         ""vehicle_id"": 2,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2020"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.92,           ""color"": 0.96         },         ""occlusion"": ""none"",         ""bounding_box"": [405, 75, 460, 126]       },       {         ""vehicle_id"": 3,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2020"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.92,           ""color"": 0.96         },         ""occlusion"": ""none"",         ""bounding_box"": [500, 55, 552, 107]       },       {         ""vehicle_id"": 4,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2020"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.92,           ""color"": 0.96         },         ""occlusion"": ""none"",         ""bounding_box"": [460, 55, 495, 90]       },       {         ""vehicle_id"": 5,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2020"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.92,           ""color"": 0.96         },         ""occlusion"": ""none"",         ""bounding_box"": [420, 30, 452, 60]       },       {         ""vehicle_id"": 6,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2020"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.92,           ""color"": 0.96         },         ""occlusion"": ""none"",         ""bounding_box"": [390, 26, 420, 50]       },       {         ""vehicle_id"": 7,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2020"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.92,           ""color"": 0.96         },         ""occlusion"": ""none"",         ""bounding_box"": [360, 26, 390, 50]       },       {         ""vehicle_id"": 8,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2020"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.92,           ""color"": 0.96         },         ""occlusion"": ""none"",         ""bounding_box"": [330, 26, 350, 40]       },       {         ""vehicle_id"": 9,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2020"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.92,           ""color"": 0.96         },         ""occlusion"": ""none"",         ""bounding_box"": [300, 26, 320, 40]       },       {         ""vehicle_id"": 10,         ""make"": ""Chevrolet"",         ""model"": ""Silverado"",         ""year_range"": ""2015-2020"",         ""color"": {           ""primary"": ""white"",           ""finish"": ""glossy"",           ""full_description"": ""white glossy""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.92,           ""color"": 0.96         },         ""occlusion"": ""none"",         ""bounding_box"": [270, 26, 290, 40]       }     ],     ""vehicle_count"": {       ""total"": 10,       ""count_confidence"": ""exact"",       ""breakdown"": {         ""passenger_cars"": 0,         ""suvs_crossovers"": 0,         ""pickup_trucks"": 10,         ""vans_min"
20260529T012806Z,international_and_washington_1_03-27-2026-03-42-02-am.jpg,minio,,input_data/frames/international_and_washington_1_03-27-2026-03-42-02-am.jpg,vehicle_prompts_2,done,2026-05-29T01:28:11.751030+00:00,0.035,1.5,1.539,,nvidia/cosmos-reason2-8b,"```json {   ""analysis"": {     ""license_plates"": [],     ""vehicles"": [       {         ""vehicle_id"": 1,         ""make"": ""Chevrolet"",         ""model"": ""Camaro"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""dark"",           ""finish"": ""glossy"",           ""full_description"": ""dark glossy""         },         ""body_style"": ""coupe"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [205, 100, 257, 150]       },       {         ""vehicle_id"": 2,         ""make"": ""Chevrolet"",         ""model"": ""Camaro"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""dark"",           ""finish"": ""glossy"",           ""full_description"": ""dark glossy""         },         ""body_style"": ""coupe"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [460, 46, 510, 90]       }     ],     ""vehicle_count"": {       ""total"": 2,       ""count_confidence"": ""exact"",       ""breakdown"": {         ""passenger_cars"": 2,         ""suvs_crossovers"": 0,         ""pickup_trucks"": 0,         ""vans_minivans"": 0,         ""commercial_trucks"": 0,         ""motorcycles_scooters"": 0,         ""buses_coaches"": 0,         ""other"": 0       },       ""notes"": null     }   },   ""meta"": {     ""image_quality"": ""poor"",     ""lighting_condition"": ""night"",     ""processing_notes"": ""The image is taken at night with low light conditions, which may affect the accuracy of vehicle identification.""   } } ```"
20260529T012806Z,international_and_washington_1_03-27-2026-02-42-44-pm.jpg,minio,,input_data/frames/international_and_washington_1_03-27-2026-02-42-44-pm.jpg,vehicle_prompts_2,done,2026-05-29T01:28:10.276271+00:00,0.035,3.617,3.657,,nvidia/cosmos-reason2-8b,"```json {   ""analysis"": {     ""license_plates"": [],     ""vehicles"": [       {         ""vehicle_id"": 1,         ""make"": ""Chevrolet"",         ""model"": ""Silverado 1500"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""silver"",           ""finish"": ""metallic"",           ""full_description"": ""silver metallic""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [110, 120, 179, 226]       },       {         ""vehicle_id"": 2,         ""make"": ""Chevrolet"",         ""model"": ""Silverado 1500"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""silver"",           ""finish"": ""metallic"",           ""full_description"": ""silver metallic""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [105, 55, 160, 145]       },       {         ""vehicle_id"": 3,         ""make"": ""Chevrolet"",         ""model"": ""Silverado 1500"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""silver"",           ""finish"": ""metallic"",           ""full_description"": ""silver metallic""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [100, 19, 145, 65]       },       {         ""vehicle_id"": 4,         ""make"": ""Chevrolet"",         ""model"": ""Silverado 1500"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""silver"",           ""finish"": ""metallic"",           ""full_description"": ""silver metallic""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [504, 55, 560, 111]       },       {         ""vehicle_id"": 5,         ""make"": ""Chevrolet"",         ""model"": ""Silverado 1500"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""silver"",           ""finish"": ""metallic"",           ""full_description"": ""silver metallic""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [470, 46, 504, 85]       },       {         ""vehicle_id"": 6,         ""make"": ""Chevrolet"",         ""model"": ""Silverado 1500"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""silver"",           ""finish"": ""metallic"",           ""full_description"": ""silver metallic""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [445, 36, 470, 65]       },       {         ""vehicle_id"": 7,         ""make"": ""Chevrolet"",         ""model"": ""Silverado 1500"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""silver"",           ""finish"": ""metallic"",           ""full_description"": ""silver metallic""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [420, 27, 445, 55]       },       {         ""vehicle_id"": 8,         ""make"": ""Chevrolet"",         ""model"": ""Silverado 1500"",         ""year_range"": ""2019-2021"",         ""color"": {           ""primary"": ""silver"",           ""finish"": ""metallic"",           ""full_description"": ""silver metallic""         },         ""body_style"": ""pickup truck"",         ""confidence"": {           ""make_model"": 0.95,           ""color"": 0.98         },         ""occlusion"": ""none"",         ""bounding_box"": [400, 20, 420, 46]       }     ],     ""vehicle_count"": {       ""total"": 8,       ""count_confidence"": ""exact"",       ""breakdown"": {         ""passenger_cars"": 0,         ""suvs_crossovers"": 0,         ""pickup_trucks"": 8,         ""vans_minivans"": 0,         ""commercial_trucks"": 0,         ""motorcycles_scooters"": 0,         ""buses_coaches"": 0,         ""other"": 0       },       ""notes"": null     }   },   ""meta"": {     ""image_quality"": ""good"",     ""lighting_condition"": ""daylight"",     ""processing_notes"": null   } } ```"
20260529T012806Z,international_and_washington_1_03-27-2026-04-42-02-am.jpg,minio,,input_data/frames/international_and_washington_1_03-27-2026-04-42-02-am.jpg,vehicle_prompts_2,done,2026-05-29T01:28:13.293014+00:00,0.035,0.706,0.746,,nvidia/cosmos-reason2-8b,"```json {   ""analysis"": {     ""license_plates"": [],     ""vehicles"": [],     ""vehicle_count"": {       ""total"": 0,       ""count_confidence"": ""exact"",       ""breakdown"": {         ""passenger_cars"": 0,         ""suvs_crossovers"": 0,         ""pickup_trucks"": 0,         ""vans_minivans"": 0,         ""commercial_trucks"": 0,         ""motorcycles_scooters"": 0,         ""buses_coaches"": 0,         ""other"": 0       },       ""notes"": null     }   },   ""meta"": {     ""image_quality"": ""poor"",     ""lighting_condition"": ""night"",     ""processing_notes"": null   } } ```"
