metric,baseline,trained,delta,pct_change,improvement
seq_accuracy,0.000000,0.531250,+0.531250,—,↑
char_accuracy,0.510294,0.814199,+0.303905,+59.6%,↑
cer_mean,0.509772,0.184028,-0.325744,-63.9%,↑
cer_median,0.428571,0.000000,-0.428571,-100.0%,↑
edit_distance_mean,3.468750,1.281250,-2.187500,-63.1%,↑
per_position_accuracy_p0,0.072917,0.687500,+0.614583,+842.9%,·
per_position_accuracy_p1,0.343750,0.625000,+0.281250,+81.8%,·
per_position_accuracy_p10,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p11,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p2,0.197917,0.593750,+0.395833,+200.0%,·
per_position_accuracy_p3,0.604167,0.822917,+0.218750,+36.2%,·
per_position_accuracy_p4,0.614583,0.812500,+0.197917,+32.2%,·
per_position_accuracy_p5,0.648352,0.769231,+0.120879,+18.6%,·
per_position_accuracy_p6,0.590909,0.738636,+0.147727,+25.0%,·
per_position_accuracy_p7,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p8,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p9,0.000000,0.000000,+0.000000,—,·
