epoch,accuracy,loss,lr
0,nan,47.112106,1.5848932e-06
1,0.0,25.566486,2.5118864e-06
2,nan,23.822144,3.9810716e-06
3,0.0,22.438915,6.309573e-06
4,nan,20.915043,1e-05
5,0.0,19.219582,1.5848931e-05
6,nan,16.96824,2.5118863e-05
7,0.047619047619047616,14.342004,3.9810715e-05
8,nan,11.787952,6.309573e-05
9,0.20408163265306123,9.549133,9.999999e-05
10,nan,8.072058,0.0001
11,0.2653061224489796,6.6024146,0.0001
12,nan,5.5863338,0.0001
13,0.32653061224489793,4.5803304,0.0001
14,nan,3.6581552,0.0001
15,0.2789115646258503,3.1767445,0.0001
16,nan,2.858337,0.0001
17,0.3469387755102041,2.5907435,0.0001
18,nan,2.1718748,0.0001
19,0.40816326530612246,2.0443676,0.0001
20,nan,1.873959,0.0001
21,0.4217687074829932,1.5612072,0.0001
22,nan,1.4737576,0.0001
23,0.3945578231292517,1.3906449,0.0001
24,nan,1.1863573,0.0001
25,0.43537414965986393,1.0327568,0.0001
26,nan,1.2055553,0.0001
27,0.40816326530612246,1.0890734,0.0001
28,nan,0.9074478,0.0001
29,0.4489795918367347,0.8145238,0.0001
30,nan,0.9211282,0.0001
31,0.4421768707482993,0.99258304,0.0001
32,nan,0.9601417,0.0001
33,0.3877551020408163,0.919955,0.0001
34,nan,0.9209269,0.0001
35,0.3877551020408163,0.8939316,0.0001
36,nan,0.7633974,0.0001
37,0.43537414965986393,0.7417388,0.0001
38,nan,0.66813946,0.0001
39,0.4421768707482993,0.6460177,0.0001
40,nan,0.6791997,0.0001
41,0.4489795918367347,0.60091853,0.0001
42,nan,0.65473914,0.0001
43,0.4217687074829932,0.5845405,0.0001
44,nan,0.5690955,0.0001
45,0.46258503401360546,0.71994627,0.0001
46,nan,0.66272575,0.0001
47,0.47619047619047616,0.48753062,0.0001
48,nan,0.575966,0.0001
49,0.48299319727891155,0.44109604,0.0001
50,nan,0.4616658,9.120108e-05
51,0.4557823129251701,0.47440845,8.3176375e-05
52,nan,0.36345267,7.585776e-05
53,0.46258503401360546,0.41895404,6.9183094e-05
54,nan,0.33671814,6.309574e-05
55,0.46938775510204084,0.38464987,5.754399e-05
56,nan,0.3266716,5.2480744e-05
57,0.4897959183673469,0.3502538,4.786301e-05
58,nan,0.3313458,4.3651584e-05
59,0.4897959183673469,0.29574934,3.9810715e-05
60,nan,0.30278054,3.6307803e-05
61,0.47619047619047616,0.28354475,3.3113112e-05
62,nan,0.2912662,3.0199517e-05
63,0.46938775510204084,0.35957682,2.7542286e-05
64,nan,0.29020908,2.5118863e-05
65,0.46258503401360546,0.3032789,2.2908676e-05
66,nan,0.26209202,2.0892961e-05
67,0.47619047619047616,0.29989374,1.9054607e-05
68,nan,0.278172,1.7378008e-05
69,0.47619047619047616,0.23292994,1.5848931e-05
70,nan,0.25755036,1.4454397e-05
71,0.48299319727891155,0.23985739,1.3182567e-05
72,nan,0.2828704,1.2022644e-05
73,0.47619047619047616,0.28450882,1.0964782e-05
74,nan,0.23383762,1e-05
75,0.47619047619047616,0.25559598,9.120108e-06
76,nan,0.22005267,8.317637e-06
77,0.48299319727891155,0.24647032,7.5857756e-06
78,nan,0.22532758,6.9183097e-06
79,0.48299319727891155,0.26787204,6.3095736e-06
80,nan,0.22878605,5.7543994e-06
81,0.48299319727891155,0.25268474,5.2480746e-06
82,nan,0.2417707,4.786301e-06
83,0.48299319727891155,0.25452894,4.3651585e-06
84,nan,0.23642226,3.9810716e-06
85,0.48299319727891155,0.21873751,3.6307806e-06
86,nan,0.24354729,3.3113113e-06
87,0.47619047619047616,0.25428614,3.0199517e-06
88,nan,0.27898222,2.7542287e-06
89,0.48299319727891155,0.2640718,2.5118864e-06
90,nan,0.23334505,2.2908675e-06
91,0.48299319727891155,0.23704436,2.0892962e-06
92,nan,0.2285477,1.9054607e-06
93,0.48299319727891155,0.23359711,1.7378009e-06
94,nan,0.25736302,1.5848932e-06
95,0.48299319727891155,0.2373849,1.4454398e-06
96,nan,0.27034104,1.3182567e-06
97,0.48299319727891155,0.22652704,1.2022645e-06
98,nan,0.28676444,1.0964782e-06
99,0.48299319727891155,0.23987727,1e-06
