class,metric,before,after,delta
person,Precision,0.362203,0.707933,+0.345729
person,Recall,0.402576,0.703704,+0.301127
person,F1,0.381324,0.705812,+0.324488
person,mAP@0.5,0.204154,0.735904,+0.531751
person,mAP@0.5:0.95,0.108624,0.408102,+0.299478
bicycle,Precision,0.470516,0.965069,+0.494553
bicycle,Recall,0.605166,0.998946,+0.393780
bicycle,F1,0.529414,0.981715,+0.452302
bicycle,mAP@0.5,0.392036,0.992377,+0.600341
bicycle,mAP@0.5:0.95,0.265182,0.930611,+0.665429
car,Precision,0.413297,0.904228,+0.490932
car,Recall,0.429577,0.917058,+0.487480
car,F1,0.421280,0.910598,+0.489318
car,mAP@0.5,0.264447,0.934933,+0.670486
car,mAP@0.5:0.95,0.140208,0.600603,+0.460396
motorcycle,Precision,,,
motorcycle,Recall,,,
motorcycle,F1,,,
motorcycle,mAP@0.5,,,
motorcycle,mAP@0.5:0.95,,,
bus,Precision,1.000000,1.000000,+0.000000
bus,Recall,0.500000,0.936900,+0.436900
bus,F1,0.666667,0.967422,+0.300756
bus,mAP@0.5,0.495000,0.995000,+0.500000
bus,mAP@0.5:0.95,0.420500,0.671000,+0.250500
truck,Precision,0.010988,0.940507,+0.929519
truck,Recall,0.142857,0.857143,+0.714286
truck,F1,0.020406,0.896892,+0.876486
truck,mAP@0.5,0.003614,0.963889,+0.960275
truck,mAP@0.5:0.95,0.000822,0.638917,+0.638095
