class,metric,before,after,delta
person,Precision,,0.474815,
person,Recall,,0.430000,
person,F1,,0.451298,
person,mAP@0.5,,0.420118,
person,mAP@0.5:0.95,,0.171824,
bicycle,Precision,,0.631841,
bicycle,Recall,,0.670000,
bicycle,F1,,0.650361,
bicycle,mAP@0.5,,0.631494,
bicycle,mAP@0.5:0.95,,0.280750,
car,Precision,,0.850010,
car,Recall,,0.790000,
car,F1,,0.818907,
car,mAP@0.5,,0.851433,
car,mAP@0.5:0.95,,0.567797,
motorcycle,Precision,,0.028571,
motorcycle,Recall,,0.200000,
motorcycle,F1,,0.050000,
motorcycle,mAP@0.5,,0.010564,
motorcycle,mAP@0.5:0.95,,0.004062,
bus,Precision,,0.636364,
bus,Recall,,0.460000,
bus,F1,,0.533997,
bus,mAP@0.5,,0.472001,
bus,mAP@0.5:0.95,,0.382282,
truck,Precision,,0.684211,
truck,Recall,,0.460000,
truck,F1,,0.550138,
truck,mAP@0.5,,0.485911,
truck,mAP@0.5:0.95,,0.333618,
license_plate,Precision,,0.761672,
license_plate,Recall,,0.480000,
license_plate,F1,,0.588888,
license_plate,mAP@0.5,,0.526752,
license_plate,mAP@0.5:0.95,,0.195755,
all,Precision,,0.581069,
all,Recall,,0.498571,
all,F1,,0.520513,
all,mAP@0.5,,0.485468,
all,mAP@0.5:0.95,,0.276584,
