run_id,file_name,source,local_path,minio_key,preset,status,started_at,upload_seconds,caption_seconds,total_seconds,total_tokens,model,full_caption
20260519T161355Z,DT_10th_and_2nd_St_1_20260518T002000.jpg,,,dataset_20260519_082523/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260518T002000.jpg,illegal_dumping,done,2026-05-19T16:29:38.978172+00:00,0.111,0.995,1.123,,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE VIOLATION: No
WASTE TYPE: mixed
WASTE VOLUME: small (pickup truck)
WASTE ORIGIN: residential
PROPERTY TYPE: vacant-lot
ADDRESS MARKERS: NONE
GUTTER/ALLEY: No
WATER PROXIMITY: No
CHRONIC SITE: No
VEHICLES: NONE
IDENTIFIERS: NONE
SEVERITY: 1
ORDINANCE: N/A
PRIORITY: LOW
SUMMARY: No illegal dumping detected in the video."
20260519T161355Z,DT_10th_and_2nd_St_1_20260518T003000.jpg,,,dataset_20260519_082523/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260518T003000.jpg,illegal_dumping,done,2026-05-19T16:29:38.978750+00:00,0.112,0.742,0.87,,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE VIOLATION: No
WASTE TYPE: mixed
WASTE VOLUME: small (pickup truck)
WASTE ORIGIN: residential
PROPERTY TYPE: vacant-lot
ADDRESS MARKERS: NONE
GUTTER/ALLEY: No
WATER PROXIMITY: No
CHRONIC SITE: No
VEHICLES: NONE
IDENTIFIERS: NONE
SEVERITY: 1
ORDINANCE: N/A
PRIORITY: LOW
SUMMARY: No illegal dumping detected in the video."
20260519T161355Z,DT_10th_and_2nd_St_1_20260518T004000.jpg,,,dataset_20260519_082523/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260518T004000.jpg,illegal_dumping,done,2026-05-19T16:29:38.979153+00:00,0.111,1.087,1.215,,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE VIOLATION: No
WASTE TYPE: mixed
WASTE VOLUME: small (pickup truck)
WASTE ORIGIN: residential
PROPERTY TYPE: vacant-lot
ADDRESS MARKERS: NONE
GUTTER/ALLEY: No
WATER PROXIMITY: No
CHRONIC SITE: No
VEHICLES: NONE
IDENTIFIERS: NONE
SEVERITY: 1
ORDINANCE: N/A
PRIORITY: LOW
SUMMARY: No illegal dumping detected in the video."
20260519T161355Z,DT_10th_and_2nd_St_1_20260518T010000.jpg,,,dataset_20260519_082523/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260518T010000.jpg,illegal_dumping,done,2026-05-19T16:29:39.851819+00:00,0.032,0.643,0.677,,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE VIOLATION: No
WASTE TYPE: mixed
WASTE VOLUME: small (pickup truck)
WASTE ORIGIN: residential
PROPERTY TYPE: vacant-lot
ADDRESS MARKERS: NONE
GUTTER/ALLEY: No
WATER PROXIMITY: No
CHRONIC SITE: No
VEHICLES: NONE
IDENTIFIERS: NONE
SEVERITY: 1
ORDINANCE: N/A
PRIORITY: LOW
SUMMARY: No illegal dumping detected in the video."
20260519T161355Z,DT_10th_and_2nd_St_1_20260518T022000.jpg,,,dataset_20260519_082523/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260518T022000.jpg,illegal_dumping,done,2026-05-19T16:29:40.103176+00:00,0.044,0.691,0.737,,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE VIOLATION: No
WASTE TYPE: mixed
WASTE VOLUME: small (pickup truck)
WASTE ORIGIN: residential
PROPERTY TYPE: vacant-lot
ADDRESS MARKERS: NONE
GUTTER/ALLEY: No
WATER PROXIMITY: No
CHRONIC SITE: No
VEHICLES: NONE
IDENTIFIERS: NONE
SEVERITY: 1
ORDINANCE: N/A
PRIORITY: LOW
SUMMARY: No illegal dumping detected in the video."
20260519T161355Z,DT_10th_and_2nd_St_1_20260518T045000.jpg,,,dataset_20260519_082523/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260518T045000.jpg,illegal_dumping,done,2026-05-19T16:29:40.196759+00:00,0.041,0.754,0.798,,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE VIOLATION: No
WASTE TYPE: mixed
WASTE VOLUME: small (pickup truck)
WASTE ORIGIN: residential
PROPERTY TYPE: vacant-lot
ADDRESS MARKERS: NONE
GUTTER/ALLEY: No
WATER PROXIMITY: No
CHRONIC SITE: No
VEHICLES: NONE
IDENTIFIERS: NONE
SEVERITY: 1
ORDINANCE: N/A
PRIORITY: LOW
SUMMARY: No illegal dumping detected in the video."
20260519T161355Z,DT_10th_and_2nd_St_1_20260518T063000.jpg,,,dataset_20260519_082523/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260518T063000.jpg,illegal_dumping,done,2026-05-19T16:29:40.530187+00:00,0.049,0.739,0.791,,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE VIOLATION: No
WASTE TYPE: mixed
WASTE VOLUME: small (pickup truck)
WASTE ORIGIN: residential
PROPERTY TYPE: vacant-lot
ADDRESS MARKERS: NONE
GUTTER/ALLEY: No
WATER PROXIMITY: No
CHRONIC SITE: No
VEHICLES: NONE
IDENTIFIERS: NONE
SEVERITY: 1
ORDINANCE: N/A
PRIORITY: LOW
SUMMARY: No illegal dumping detected; the scene appears to be a natural landscape with no visible waste or violations."
20260519T161355Z,DT_10th_and_2nd_St_1_20260518T064000.jpg,,,dataset_20260519_082523/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260518T064000.jpg,illegal_dumping,done,2026-05-19T16:29:40.843210+00:00,0.041,0.696,0.74,,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE VIOLATION: No
WASTE TYPE: mixed
WASTE VOLUME: small (pickup truck)
WASTE ORIGIN: residential
PROPERTY TYPE: vacant-lot
ADDRESS MARKERS: NONE
GUTTER/ALLEY: No
WATER PROXIMITY: No
CHRONIC SITE: No
VEHICLES: NONE
IDENTIFIERS: NONE
SEVERITY: 1
ORDINANCE: N/A
PRIORITY: LOW
SUMMARY: No illegal dumping detected; the area appears to be a foggy, open space with no visible waste or violations."
20260519T161355Z,DT_10th_and_2nd_St_1_20260518T065000.jpg,,,dataset_20260519_082523/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260518T065000.jpg,illegal_dumping,done,2026-05-19T16:29:40.997374+00:00,0.036,0.759,0.797,,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE VIOLATION: No
WASTE TYPE: mixed
WASTE VOLUME: small (pickup truck)
WASTE ORIGIN: residential
PROPERTY TYPE: vacant-lot
ADDRESS MARKERS: NONE
GUTTER/ALLEY: No
WATER PROXIMITY: No
CHRONIC SITE: No
VEHICLES: NONE
IDENTIFIERS: NONE
SEVERITY: 1
ORDINANCE: N/A
PRIORITY: LOW
SUMMARY: No illegal dumping detected; the area appears to be a vacant lot with natural vegetation and no visible waste or debris."
20260519T161355Z,DT_10th_and_2nd_St_1_20260518T070000.jpg,,,dataset_20260519_082523/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260518T070000.jpg,illegal_dumping,done,2026-05-19T16:29:41.323851+00:00,0.047,0.692,0.743,,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE VIOLATION: No
WASTE TYPE: mixed
WASTE VOLUME: small (pickup truck)
WASTE ORIGIN: residential
PROPERTY TYPE: vacant-lot
ADDRESS MARKERS: NONE
GUTTER/ALLEY: No
WATER PROXIMITY: No
CHRONIC SITE: No
VEHICLES: NONE
IDENTIFIERS: NONE
SEVERITY: 1
ORDINANCE: N/A
PRIORITY: LOW
SUMMARY: No illegal dumping detected in the video."
